CustomerNumber,CustomerName
103,"Atelier graphique"
112,"Signal Gift Stores"
114,"Australian Collectors, Co."
119,"La Rochelle Gifts"
121,"Baane Mini Imports"
124,"Mini Gifts Distributors Ltd."
128,"Blauer See Auto, Co."
141,"Euro+ Shopping Channel"
144,"Volvo Model Replicas, Co"
145,"Danish Wholesale Imports"
146,"Saveley & Henriot, Co."
148,"Dragon Souveniers, Ltd."
157,"Diecast Classics Inc."
161,"Technics Stores Inc."
166,"Handji Gifts& Co"
167,"Herkku Gifts"
168,"American Souvenirs Inc"
171,"Daedalus Designs Imports"
173,"Cambridge Collectables Co."
175,"Gift Depot Inc."
177,"Osaka Souveniers Co."
186,"Toys of Finland, Co."
187,"AV Stores, Co."
189,"Clover Collections, Co."
198,"Auto-Moto Classics Inc."
201,"UK Collectables, Ltd."
202,"Canadian Gift Exchange Network"
204,"Online Mini Collectables"
205,Toys4GrownUps.com
209,"Mini Caravy"
211,"King Kong Collectables, Co."
216,"Enaco Distributors"
219,"Boards & Toys Co."
227,"Heintze Collectables"
233,"Québec Home Shopping Network"
239,"Collectable Mini Designs Co."
240,giftsbymail.co.uk
242,"Alpha Cognac"
249,"Amica Models & Co."
256,"Auto Associés & Cie."
259,"Toms Spezialitäten, Ltd"
260,"Royal Canadian Collectables, Ltd."
276,"Anna's Decorations, Ltd"
278,"Rovelli Gifts"
282,"Souveniers And Things Co."
286,"Marta's Replicas Co."
298,"Vida Sport, Ltd"
299,"Norway Gifts By Mail, Co."
311,"Oulu Toy Supplies, Inc."
314,"Petit Auto"
319,"Mini Classics"
320,"Mini Creations Ltd."
323,"Down Under Souveniers, Inc"
328,"Tekni Collectables Inc."
333,"Australian Gift Network, Co"
334,"Suominen Souveniers"
339,"Classic Gift Ideas, Inc"
344,"CAF Imports"
347,"Men 'R' US Retailers, Ltd."
350,"Marseille Mini Autos"
353,"Reims Collectables"
357,GiftsForHim.com
363,"Online Diecast Creations Co."
376,"Precious Collectables"
379,"Collectables For Less Inc."
381,"Royale Belge"
382,"Salzburg Collectables"
385,"Cruz & Sons Co."
386,"L'ordine Souveniers"
398,"Tokyo Collectables, Ltd"
412,"Extreme Desk Decorations, Ltd"
415,"Bavarian Collectables Imports, Co."
447,"Gift Ideas Corp."
448,"Scandinavian Gift Ideas"
450,"The Sharp Gifts Warehouse"
452,"Mini Auto Werke"
455,"Super Scale Inc."
458,"Corrida Auto Replicas, Ltd"
462,FunGiftIdeas.com
471,"Australian Collectables, Ltd"
473,"Frau da Collezione"
475,"West Coast Collectables Co."
484,"Iberia Gift Imports, Corp."
486,"Motor Mint Distributors Inc."
487,"Signal Collectibles Ltd."
496,"Kelly's Gift Shop"
